query	target	pident	evalue	qlen	tlen	alnlen	bits	tstart	tend	qstart	qend	qcov	tcov	neig1_id	query_source	query_clean	aro	gene_family	drug_class	mechanism	short_name	cryptic	has_human	tcov_tier	pident_tier
[SWISSPROT]sp|Q83IQ8|MDTO_SHIFL	AF-Q5F5L3-F1-model_v6	14.8	5.428e-12	680	716	686	728	6	691	26	679	1.0	0.9581005586592178	Q5F5L3	SWISSPROT	sp|Q83IQ8|MDTO_SHIFL		Multidrug resistance protein MdtO			MDTO_SHIFL	True	False	90-100%	<30% cryptic
[SWISSPROT]sp|P94967|ALR_MYCSM	AF-Q5F5L6-F1-model_v6	17.2	1.033e-07	389	228	222	345	4	225	25	239	0.570694087403599	0.9736842105263158	Q5F5L6	SWISSPROT	sp|P94967|ALR_MYCSM		Alanine racemase			ALR_MYCSM	True	True	90-100%	<30% cryptic
[CARD]gb|AAC75089.1|ARO:3003577|ugd	AF-Q5F5L8-F1-model_v6	12.4	3.27e-06	388	263	295	295	1	261	1	295	0.7603092783505154	1.0	Q5F5L8	CARD	gb|AAC75089.1|ARO:3003577|ugd	ARO:3003577	pmr phosphoethanolamine transferase	peptide antibiotic	antibiotic target alteration	ugd	True	True	90-100%	<30% cryptic
[SWISSPROT]sp|Q9I5U0|MURU_PSEAE	AF-Q5F5M3-F1-model_v6	22.5	6.231e-17	224	288	239	651	1	239	1	222	1.0	0.8298611111111112	Q5F5M3	SWISSPROT	sp|Q9I5U0|MURU_PSEAE		N-acetylmuramate alpha-1-phosphate uridylyltransferase			MURU_PSEAE	True	True	70-90%	<30% cryptic
[SWISSPROT]sp|Q8D341|ARNA_WIGBR	AF-Q5F5M4-F1-model_v6	18.5	3.388e-24	654	346	345	1023	1	341	309	653	0.5275229357798165	0.9971098265895953	Q5F5M4	SWISSPROT	sp|Q8D341|ARNA_WIGBR		Bifunctional polymyxin resistance protein ArnA			ARNA_WIGBR	True	True	90-100%	<30% cryptic
[SWISSPROT]sp|Q4KC82|ARNA_PSEF5	AF-Q5F5M5-F1-model_v6	19.3	1.85e-19	668	338	335	832	1	331	319	653	0.5014970059880239	0.9911242603550295	Q5F5M5	SWISSPROT	sp|Q4KC82|ARNA_PSEF5		Bifunctional polymyxin resistance protein ArnA			ARNA_PSEF5	True	True	90-100%	<30% cryptic
[CARD]gb|CAC86410.1|ARO:3000599|Erm(33)	AF-Q5F5M7-F1-model_v6	13.6	2.425e-06	243	333	181	286	1	181	28	184	0.7448559670781894	0.5435435435435435	Q5F5M7	CARD	gb|CAC86410.1|ARO:3000599|Erm(33)	ARO:3000599	Erm 23S ribosomal RNA methyltransferase	lincosamide antibiotic;macrolide antibiotic;streptogramin A antibiotic;streptogramin B antibiotic;streptogramin antibiotic	antibiotic target alteration	Erm(33)	True	True	50-70%	<30% cryptic
[CARD]gb|AAA88422.1|ARO:3002530|AAC(3)-Ib	AF-Q5F5N9-F1-model_v6	20.4	1.741e-10	176	280	157	428	126	279	16	172	0.8920454545454546	0.5607142857142857	Q5F5N9	CARD	gb|AAA88422.1|ARO:3002530|AAC(3)-Ib	ARO:3002530	AAC(3)	aminoglycoside antibiotic	antibiotic inactivation	AAC(3)-Ib	True	False	50-70%	<30% cryptic
[CARD]gb|AHA41499.1|ARO:3002948|vanH_in_vanO_cl	AF-Q5F5P0-F1-model_v6	11.2	2.274e-07	350	306	337	354	13	300	6	342	0.9628571428571429	1.0	Q5F5P0	CARD	gb|AHA41499.1|ARO:3002948|vanH_in_vanO_cl	ARO:3002948	glycopeptide resistance gene cluster;vanH	glycopeptide antibiotic	antibiotic target alteration	vanH_in_vanO_cl	True	True	90-100%	<30% cryptic
[SWISSPROT]sp|Q2J7L5|KRM_FRACC	AF-Q5F5P8-F1-model_v6	10.8	9.486e-06	284	419	412	293	7	418	15	284	1.0	0.9832935560859188	Q5F5P8	SWISSPROT	sp|Q2J7L5|KRM_FRACC		16S rRNA (guanine(1405)-N(7))-methyltransferase			KRM_FRACC	True	True	90-100%	<30% cryptic
[CARD]gb|ABD30512.1|ARO:3000839|arlS	AF-Q5F5Q0-F1-model_v6	12.8	4.459e-18	451	706	629	852	70	698	5	451	1.0	0.8909348441926346	Q5F5Q0	CARD	gb|ABD30512.1|ARO:3000839|arlS	ARO:3000839	major facilitator superfamily (MFS) antibiotic efflux pump	disinfecting agents and antiseptics;fluoroquinolone antibiotic	antibiotic efflux	arlS	True	False	70-90%	<30% cryptic
[CARD]gb|ACL82957.1|ARO:3002928|vanR_in_vanM_cl	AF-Q5F5Q1-F1-model_v6	30.7	4.451e-11	232	425	130	457	1	130	1	127	0.5603448275862069	0.3058823529411765	Q5F5Q1	CARD	gb|ACL82957.1|ARO:3002928|vanR_in_vanM_cl	ARO:3002928	glycopeptide resistance gene cluster;vanR	glycopeptide antibiotic	antibiotic target alteration	vanR_in_vanM_cl	False	False	30-50%	30-50% remote
[CARD]gb|AAA26779.1|ARO:3004652|Erm(O)-lrm	AF-Q5F5Q6-F1-model_v6	12.8	5.77e-06	260	189	189	271	1	189	1	188	0.7269230769230769	1.0	Q5F5Q6	CARD	gb|AAA26779.1|ARO:3004652|Erm(O)-lrm	ARO:3004652	Erm 23S ribosomal RNA methyltransferase	lincosamide antibiotic;macrolide antibiotic;streptogramin antibiotic	antibiotic target alteration	Erm(O)-lrm	True	False	90-100%	<30% cryptic
[SWISSPROT]sp|P0A6N3|EFTU_ECO57	AF-Q5F5Q8-F1-model_v6	83.7	8.924000000000001e-72	394	394	394	2964	1	394	1	394	1.0	1.0	Q5F5Q8	SWISSPROT	sp|P0A6N3|EFTU_ECO57		Elongation factor Tu			EFTU_ECO57	False	True	90-100%	70-90% close
[SWISSPROT]sp|Q06796|RL11_BACSU	AF-Q5F5R1-F1-model_v6	60.9	3.3500000000000005e-20	141	144	141	795	1	141	1	140	1.0	0.9791666666666666	Q5F5R1	SWISSPROT	sp|Q06796|RL11_BACSU		Large ribosomal subunit protein uL11			RL11_BACSU	False	True	90-100%	50-70% moderate
[SWISSPROT]sp|Q59622|RPOB_NEIMB	AF-Q5F5R5-F1-model_v6	99.2	0.0	1392	1392	1392	9592	1	1392	1	1392	1.0	1.0	Q5F5R5	SWISSPROT	sp|Q59622|RPOB_NEIMB		DNA-directed RNA polymerase subunit beta			RPOB_NEIMB	False	True	90-100%	>90% near-identical
[SWISSPROT]sp|P0A8T7|RPOC_ECOLI	AF-Q5F5R6-F1-model_v6	67.5	0.0	1407	1391	1376	8107	5	1380	3	1377	0.9779673063255153	0.9892163910855499	Q5F5R6	SWISSPROT	sp|P0A8T7|RPOC_ECOLI		DNA-directed RNA polymerase subunit beta'			RPOC_ECOLI	False	True	90-100%	50-70% moderate
[SWISSPROT]sp|P21472|RS12_BACSU	AF-Q5F5S1-F1-model_v6	68.3	1.055e-18	138	123	136	737	1	123	1	136	0.9855072463768116	1.0	Q5F5S1	SWISSPROT	sp|P21472|RS12_BACSU		Small ribosomal subunit protein uS12			RS12_BACSU	False	True	90-100%	50-70% moderate
[SWISSPROT]sp|P0A6N3|EFTU_ECO57	AF-Q5F5S3-F1-model_v6	15.0	9.352000000000001e-20	394	701	517	847	1	517	1	389	1.0	0.7375178316690443	Q5F5S3	SWISSPROT	sp|P0A6N3|EFTU_ECO57		Elongation factor Tu			EFTU_ECO57	True	True	70-90%	<30% cryptic
[SWISSPROT]sp|Q97SV4|RL4_STRPN	AF-Q5F5S8-F1-model_v6	33.0	1.6860000000000002e-20	207	206	205	822	1	205	2	206	0.9903381642512077	0.9951456310679612	Q5F5S8	SWISSPROT	sp|Q97SV4|RL4_STRPN		Large ribosomal subunit protein uL4			RL4_STRPN	False	True	90-100%	30-50% remote
[SWISSPROT]sp|P44360|RL22_HAEIN	AF-Q5F5T2-F1-model_v6	69.7	9.929e-19	110	109	109	686	1	109	1	109	0.990909090909091	1.0	Q5F5T2	SWISSPROT	sp|P44360|RL22_HAEIN		Large ribosomal subunit protein uL22			RL22_HAEIN	False	True	90-100%	50-70% moderate
[SWISSPROT]sp|P0A475|RL16_STRPN	AF-Q5F5T4-F1-model_v6	51.8	4.529e-19	137	138	137	734	1	137	1	137	1.0	0.9927536231884058	Q5F5T4	SWISSPROT	sp|P0A475|RL16_STRPN		Large ribosomal subunit protein uL16			RL16_STRPN	False	True	90-100%	50-70% moderate
[SWISSPROT]sp|P0AG63|RS17_ECOLI	AF-Q5F5T6-F1-model_v6	63.4	2.4e-10	84	87	82	476	3	84	1	82	0.9761904761904762	0.9425287356321839	Q5F5T6	SWISSPROT	sp|P0AG63|RS17_ECOLI		Small ribosomal subunit protein uS17			RS17_ECOLI	False	False	90-100%	50-70% moderate
[SWISSPROT]sp|P0AG55|RL6_ECOLI	AF-Q5F5U2-F1-model_v6	59.3	7.818e-25	177	177	177	1047	1	177	1	177	1.0	1.0	Q5F5U2	SWISSPROT	sp|P0AG55|RL6_ECOLI		Large ribosomal subunit protein uL6			RL6_ECOLI	False	False	90-100%	50-70% moderate
[SWISSPROT]sp|P0A7W4|RS5_SALTY	AF-Q5F5U4-F1-model_v6	59.3	2.178e-24	167	172	165	988	4	168	2	166	0.9880239520958084	0.9593023255813954	Q5F5U4	SWISSPROT	sp|P0A7W4|RS5_SALTY		Small ribosomal subunit protein uS5			RS5_SALTY	False	False	90-100%	50-70% moderate
[SWISSPROT]sp|O54297|RS4_SALTY	AF-Q5F5V1-F1-model_v6	72.6	1.891e-29	206	206	205	1280	1	205	1	205	0.9951456310679612	0.9951456310679612	Q5F5V1	SWISSPROT	sp|O54297|RS4_SALTY		Small ribosomal subunit protein uS4			RS4_SALTY	False	False	90-100%	70-90% close
[CARD]gb|CAA79966.1|ARO:3003665|NmcR	AF-Q5F5V6-F1-model_v6	16.9	3.719e-17	295	306	296	696	1	296	5	288	1.0	0.9673202614379085	Q5F5V6	CARD	gb|CAA79966.1|ARO:3003665|NmcR	ARO:3003665	IMI beta-lactamase	carbapenem;cephalosporin;penicillin beta-lactam	antibiotic inactivation	NmcR	True	False	90-100%	<30% cryptic
[CARD]gb|CAA09666.1|ARO:3004122|Kpne_OmpK37	AF-Q5F5V7-F1-model_v6	19.5	8.26e-17	374	348	374	732	1	348	1	374	1.0	1.0	Q5F5V7	CARD	gb|CAA09666.1|ARO:3004122|Kpne_OmpK37	ARO:3004122	General Bacterial Porin with reduced permeability to beta-lactams	carbapenem;cephalosporin;monobactam;penicillin beta-lactam	reduced permeability to antibiotic	Kpne_OmpK37	True	False	90-100%	<30% cryptic
[SWISSPROT]sp|P9WFV2|SYI_MYCTO	AF-Q5F5W0-F1-model_v6	17.9	1.1129999999999999e-45	1041	945	1004	2247	1	936	10	1013	0.9644572526416907	1.0	Q5F5W0	SWISSPROT	sp|P9WFV2|SYI_MYCTO		Isoleucine--tRNA ligase			SYI_MYCTO	True	True	90-100%	<30% cryptic
[SWISSPROT]sp|A0A0H4TXY1|TET55_UNKP	AF-Q5F5W1-F1-model_v6	10.4	1.686e-09	385	419	419	421	1	419	5	332	1.0	1.0	Q5F5W1	SWISSPROT	sp|A0A0H4TXY1|TET55_UNKP		Flavin-dependent monooxygenase			TET55_UNKP	True	True	90-100%	<30% cryptic
[SWISSPROT]sp|P0A1X4|LPXD_SALTY	AF-Q5F5W3-F1-model_v6	26.0	8.124e-10	341	258	230	524	3	216	99	328	0.6744868035190615	0.8914728682170543	Q5F5W3	SWISSPROT	sp|P0A1X4|LPXD_SALTY		UDP-3-O-(3-hydroxymyristoyl)glucosamine N-acyltransferase			LPXD_SALTY	True	False	70-90%	<30% cryptic
[SWISSPROT]sp|P0A1X4|LPXD_SALTY	AF-Q5F5W6-F1-model_v6	36.4	2.9e-25	341	347	339	1268	5	343	3	340	0.9941348973607038	0.9769452449567724	Q5F5W6	SWISSPROT	sp|P0A1X4|LPXD_SALTY		UDP-3-O-(3-hydroxymyristoyl)glucosamine N-acyltransferase			LPXD_SALTY	False	False	90-100%	30-50% remote
[SWISSPROT]sp|Q2MEY3|KAMB_STRHI	AF-Q5F5X4-F1-model_v6	13.8	7.707e-06	215	330	188	250	1	164	26	213	0.8744186046511628	0.5696969696969697	Q5F5X4	SWISSPROT	sp|Q2MEY3|KAMB_STRHI		16S rRNA (adenine(1408)-N(1))-methyltransferase			KAMB_STRHI	True	True	50-70%	<30% cryptic
[SWISSPROT]sp|Q83IQ8|MDTO_SHIFL	AF-Q5F5X5-F1-model_v6	13.2	3.34e-06	680	375	347	405	23	369	346	680	0.5102941176470588	0.9253333333333333	Q5F5X5	SWISSPROT	sp|Q83IQ8|MDTO_SHIFL		Multidrug resistance protein MdtO			MDTO_SHIFL	True	False	90-100%	<30% cryptic
[CARD]gb|ALD03565.1|ARO:3004679|rmtE2	AF-Q5F5X7-F1-model_v6	11.3	1.016e-07	273	207	207	362	1	207	59	265	0.7582417582417582	1.0	Q5F5X7	CARD	gb|ALD03565.1|ARO:3004679|rmtE2	ARO:3004679	16S rRNA methyltransferase (G1405)	aminoglycoside antibiotic	antibiotic target alteration	rmtE2	True	False	90-100%	<30% cryptic
[CARD]gb|AKQ05898.1|ARO:3004590|tet(54)	AF-Q5F5Y0-F1-model_v6	7.3	3.702e-07	388	631	480	333	2	481	3	376	1.0	0.7606973058637084	Q5F5Y0	CARD	gb|AKQ05898.1|ARO:3004590|tet(54)	ARO:3004590	tetracycline inactivation enzyme	tetracycline antibiotic	antibiotic inactivation	tet(54)	True	True	70-90%	<30% cryptic
[SWISSPROT]sp|Q8DPV9|AGGDS_STRR6	AF-Q5F5Y6-F1-model_v6	10.9	1.979e-10	374	390	388	448	1	388	18	369	1.0	0.9948717948717949	Q5F5Y6	SWISSPROT	sp|Q8DPV9|AGGDS_STRR6		Alpha-galactosylglucosyldiacylglycerol synthase			AGGDS_STRR6	True	False	90-100%	<30% cryptic
[SWISSPROT]sp|P13364|GYRB_PSEPU	AF-Q5F5Z6-F1-model_v6	58.6	6.929000000000001e-102	806	796	806	4471	1	796	1	806	1.0	1.0	Q5F5Z6	SWISSPROT	sp|P13364|GYRB_PSEPU		DNA gyrase subunit B			GYRB_PSEPU	False	True	90-100%	50-70% moderate
[SWISSPROT]sp|Q9HTC0|WBPZ_PSEAE	AF-Q5F602-F1-model_v6	15.9	4.306e-17	381	376	375	714	1	375	1	365	0.984251968503937	0.9973404255319149	Q5F602	SWISSPROT	sp|Q9HTC0|WBPZ_PSEAE		D-rhamnosyltransferase WbpZ			WBPZ_PSEAE	True	False	90-100%	<30% cryptic
[SWISSPROT]sp|P0A003|ACP_STAAW	AF-Q5F604-F1-model_v6	55.4	3.791e-08	77	78	74	343	2	75	1	74	0.961038961038961	0.9487179487179487	Q5F604	SWISSPROT	sp|P0A003|ACP_STAAW		Acyl carrier protein			ACP_STAAW	False	True	90-100%	50-70% moderate
[SWISSPROT]sp|B1MDE5|HELR_MYCA9	AF-Q5F609-F1-model_v6	10.5	3.521e-10	753	735	672	522	1	672	163	751	0.8924302788844621	0.9142857142857143	Q5F609	SWISSPROT	sp|B1MDE5|HELR_MYCA9		RNA polymerase recycling motor protein HelD/HelR			HELR_MYCA9	True	False	90-100%	<30% cryptic
[CARD]gb|AAL02176.1|ARO:3004669|emtA	AF-Q5F614-F1-model_v6	13.0	8.412e-06	341	483	199	262	223	412	140	338	0.5835777126099707	0.41200828157349895	Q5F614	CARD	gb|AAL02176.1|ARO:3004669|emtA	ARO:3004669	non-erm 23S ribosomal RNA methyltransferase (G748)	lincosamide antibiotic;macrolide antibiotic;orthosomycin antibiotic	antibiotic target alteration	emtA	True	False	30-50%	<30% cryptic
[CARD]gb|AAF67494.2|ARO:3002522|novA	AF-Q5F634-F1-model_v6	26.6	1.012e-34	615	618	598	1808	7	604	2	597	0.9723577235772358	0.9676375404530745	Q5F634	CARD	gb|AAF67494.2|ARO:3002522|novA	ARO:3002522	ATP-binding cassette (ABC) antibiotic efflux pump	aminocoumarin antibiotic	antibiotic efflux	novA	True	True	90-100%	<30% cryptic
[SWISSPROT]sp|Q9F5K6|AVRB_STRVR	AF-Q5F639-F1-model_v6	21.9	2.602e-09	287	154	161	395	1	154	126	286	0.5609756097560976	1.0	Q5F639	SWISSPROT	sp|Q9F5K6|AVRB_STRVR		23S rRNA (uridine(2479)-2'-O)-methyltransferase			AVRB_STRVR	True	False	90-100%	<30% cryptic
[CARD]gb|UXD71803.1|ARO:3007459|EstT	AF-Q5F641-F1-model_v6	15.3	2.204e-13	306	249	252	565	5	238	47	298	0.8235294117647058	1.0	Q5F641	CARD	gb|UXD71803.1|ARO:3007459|EstT	ARO:3007459	macrolide esterase	macrolide antibiotic	antibiotic inactivation	EstT	True	True	90-100%	<30% cryptic
[CARD]gb|AJD73064.1|ARO:3001301|RlmA(II)	AF-Q5F642-F1-model_v6	14.8	1.219e-11	282	262	245	465	1	245	60	281	0.8687943262411347	0.9351145038167938	Q5F642	CARD	gb|AJD73064.1|ARO:3001301|RlmA(II)	ARO:3001301	non-erm 23S ribosomal RNA methyltransferase (G748)	lincosamide antibiotic;macrolide antibiotic	antibiotic target alteration	RlmA(II)	True	False	90-100%	<30% cryptic
[CARD]gb|UXD71803.1|ARO:3007459|EstT	AF-Q5F647-F1-model_v6	13.6	4.115e-10	306	319	284	437	32	313	23	306	0.9281045751633987	0.890282131661442	Q5F647	CARD	gb|UXD71803.1|ARO:3007459|EstT	ARO:3007459	macrolide esterase	macrolide antibiotic	antibiotic inactivation	EstT	True	True	70-90%	<30% cryptic
[SWISSPROT]sp|Q49VC5|MEPA_STAS1	AF-Q5F648-F1-model_v6	10.5	2.049e-08	451	512	432	539	1	432	12	440	0.9578713968957872	0.84375	Q5F648	SWISSPROT	sp|Q49VC5|MEPA_STAS1		Multidrug export protein MepA			MEPA_STAS1	True	False	70-90%	<30% cryptic
[CARD]gb|CAD91341.1|ARO:3004675|aphA15	AF-Q5F650-F1-model_v6	17.0	2.504e-10	264	334	267	479	1	267	5	263	1.0	0.7994011976047904	Q5F650	CARD	gb|CAD91341.1|ARO:3004675|aphA15	ARO:3004675	APH(3')	aminoglycoside antibiotic	antibiotic inactivation	aphA15	True	False	70-90%	<30% cryptic
[CARD]gb|AIA35096.1|ARO:3005059|LptD	AF-Q5F651-F1-model_v6	24.0	1.3639999999999999e-53	782	801	760	2645	44	789	18	777	0.9718670076726342	0.9488139825218477	Q5F651	CARD	gb|AIA35096.1|ARO:3005059|LptD	ARO:3005059	ATP-binding cassette (ABC) antibiotic efflux pump	aminocoumarin antibiotic;carbapenem;peptide antibiotic;rifamycin antibiotic	antibiotic efflux	LptD	True	False	90-100%	<30% cryptic
[SWISSPROT]sp|Q9KHL7|VANTG_ENTFL	AF-Q5F656-F1-model_v6	13.6	6.555e-06	711	622	586	350	1	586	1	580	0.8241912798874824	0.9421221864951769	Q5F656	SWISSPROT	sp|Q9KHL7|VANTG_ENTFL		Amino-acid racemase			VANTG_ENTFL	True	False	90-100%	<30% cryptic
[CARD]gb|CAA79966.1|ARO:3003665|NmcR	AF-Q5F660-F1-model_v6	16.5	8.357e-19	295	303	292	759	4	295	7	290	0.9898305084745763	0.9636963696369637	Q5F660	CARD	gb|CAA79966.1|ARO:3003665|NmcR	ARO:3003665	IMI beta-lactamase	carbapenem;cephalosporin;penicillin beta-lactam	antibiotic inactivation	NmcR	True	False	90-100%	<30% cryptic
[SWISSPROT]sp|O05701|DHPS_STAAU	AF-Q5F668-F1-model_v6	11.3	7.396e-06	267	351	290	275	55	344	4	255	1.0	0.8262108262108262	Q5F668	SWISSPROT	sp|O05701|DHPS_STAAU		Dihydropteroate synthase			DHPS_STAAU	True	False	70-90%	<30% cryptic
[SWISSPROT]sp|Q54801|DYR_STRPN	AF-Q5F669-F1-model_v6	27.1	2.239e-17	168	162	165	680	1	162	2	166	0.9821428571428571	1.0	Q5F669	SWISSPROT	sp|Q54801|DYR_STRPN		Dihydrofolate reductase			DYR_STRPN	True	True	90-100%	<30% cryptic
[CARD]gb|AAP82271.1|ARO:3004123|Bpse_Omp38	AF-Q5F674-F1-model_v6	7.5	8.677e-07	374	489	350	321	204	489	25	374	0.9358288770053476	0.7157464212678937	Q5F674	CARD	gb|AAP82271.1|ARO:3004123|Bpse_Omp38	ARO:3004123	General Bacterial Porin with reduced permeability to beta-lactams	carbapenem;cephalosporin;monobactam;penicillin beta-lactam	reduced permeability to antibiotic	Bpse_Omp38	True	False	70-90%	<30% cryptic
[SWISSPROT]sp|Q8X5R2|MDTN_ECO57	AF-Q5F679-F1-model_v6	26.5	2.728e-26	343	384	343	1070	1	343	4	340	1.0	0.8932291666666666	Q5F679	SWISSPROT	sp|Q8X5R2|MDTN_ECO57		Multidrug resistance protein MdtN			MDTN_ECO57	True	False	70-90%	<30% cryptic
[SWISSPROT]sp|P0AEJ1|EMRB_ECO57	AF-Q5F680-F1-model_v6	57.0	1.068e-39	512	507	507	2342	1	506	2	508	0.990234375	1.0	Q5F680	SWISSPROT	sp|P0AEJ1|EMRB_ECO57		Multidrug export protein EmrB			EMRB_ECO57	False	False	90-100%	50-70% moderate
[CARD]gb|AKQ05898.1|ARO:3004590|tet(54)	AF-Q5F684-F1-model_v6	14.0	2.962e-22	388	394	394	945	1	394	1	383	1.0	1.0	Q5F684	CARD	gb|AKQ05898.1|ARO:3004590|tet(54)	ARO:3004590	tetracycline inactivation enzyme	tetracycline antibiotic	antibiotic inactivation	tet(54)	True	True	90-100%	<30% cryptic
[SWISSPROT]sp|P12921|TMRB_BACSU	AF-Q5F691-F1-model_v6	14.7	4.785e-06	197	210	191	258	3	193	1	169	0.9695431472081218	0.9095238095238095	Q5F691	SWISSPROT	sp|P12921|TMRB_BACSU		Tunicamycin resistance protein			TMRB_BACSU	True	True	90-100%	<30% cryptic
[SWISSPROT]sp|P0A5Y7|INHA_MYCBO	AF-Q5F696-F1-model_v6	34.0	2.409e-25	269	261	268	1012	1	257	2	269	0.9962825278810409	1.0	Q5F696	SWISSPROT	sp|P0A5Y7|INHA_MYCBO		Enoyl-[acyl-carrier-protein] reductase [NADH]			INHA_MYCBO	False	True	90-100%	30-50% remote
[CARD]gb|AJF36617.1|ARO:3004596|erm(46)	AF-Q5F6E4-F1-model_v6	13.1	2.262e-07	270	315	199	328	1	199	1	181	0.737037037037037	0.6317460317460317	Q5F6E4	CARD	gb|AJF36617.1|ARO:3004596|erm(46)	ARO:3004596	Erm 23S ribosomal RNA methyltransferase	lincosamide antibiotic;macrolide antibiotic;streptogramin antibiotic	antibiotic target alteration	erm(46)	True	False	50-70%	<30% cryptic
[SWISSPROT]sp|P9WQL8|DRRA_MYCTO	AF-Q5F6F4-F1-model_v6	30.1	4.173e-23	331	244	227	1003	1	227	1	227	0.6858006042296072	0.930327868852459	Q5F6F4	SWISSPROT	sp|P9WQL8|DRRA_MYCTO		Doxorubicin resistance ATP-binding protein DrrA			DRRA_MYCTO	False	True	90-100%	30-50% remote
[CARD]gb|AHA41499.1|ARO:3002948|vanH_in_vanO_cl	AF-Q5F6F7-F1-model_v6	11.3	9.451e-06	350	269	255	286	1	236	29	283	0.7285714285714285	0.9479553903345725	Q5F6F7	CARD	gb|AHA41499.1|ARO:3002948|vanH_in_vanO_cl	ARO:3002948	glycopeptide resistance gene cluster;vanH	glycopeptide antibiotic	antibiotic target alteration	vanH_in_vanO_cl	True	False	90-100%	<30% cryptic
[SWISSPROT]sp|P45123|BCR_HAEIN	AF-Q5F6G0-F1-model_v6	17.0	1.832e-09	398	427	411	582	1	411	1	389	1.0	0.9625292740046838	Q5F6G0	SWISSPROT	sp|P45123|BCR_HAEIN		Bicyclomycin resistance protein homolog			BCR_HAEIN	True	True	90-100%	<30% cryptic
[SWISSPROT]sp|Q9I5Q5|ANMK_PSEAE	AF-Q5F6H5-F1-model_v6	44.1	2.298e-43	363	367	363	1829	5	367	2	363	1.0	0.989100817438692	Q5F6H5	SWISSPROT	sp|Q9I5Q5|ANMK_PSEAE		Anhydro-N-acetylmuramic acid kinase			ANMK_PSEAE	False	False	90-100%	30-50% remote
[CARD]gb|BAE77933.1|ARO:3000518|CRP	AF-Q5F6H9-F1-model_v6	21.8	2.011e-15	210	244	202	634	26	227	6	206	0.9619047619047619	0.8278688524590164	Q5F6H9	CARD	gb|BAE77933.1|ARO:3000518|CRP	ARO:3000518	resistance-nodulation-cell division (RND) antibiotic efflux pump	fluoroquinolone antibiotic;macrolide antibiotic;penicillin beta-lactam	antibiotic efflux	CRP	True	False	70-90%	<30% cryptic
[CARD]gb|CAA79966.1|ARO:3003665|NmcR	AF-Q5F6I0-F1-model_v6	16.3	1.382e-15	295	316	297	636	1	297	5	288	1.0	0.939873417721519	Q5F6I0	CARD	gb|CAA79966.1|ARO:3003665|NmcR	ARO:3003665	IMI beta-lactamase	carbapenem;cephalosporin;penicillin beta-lactam	antibiotic inactivation	NmcR	True	False	90-100%	<30% cryptic
[SWISSPROT]sp|A1KF14|MDREP_MYCBP	AF-Q5F6I5-F1-model_v6	15.5	1.449e-13	1194	558	840	760	1	536	328	1167	0.7035175879396985	1.0	Q5F6I5	SWISSPROT	sp|A1KF14|MDREP_MYCBP		Multidrug efflux ATP-binding/permease protein BCG_0231			MDREP_MYCBP	True	True	90-100%	<30% cryptic
[SWISSPROT]sp|A0A0H4TXY1|TET55_UNKP	AF-Q5F6I6-F1-model_v6	11.1	2.167e-06	385	502	493	297	1	493	1	385	1.0	0.9820717131474104	Q5F6I6	SWISSPROT	sp|A0A0H4TXY1|TET55_UNKP		Flavin-dependent monooxygenase			TET55_UNKP	True	True	90-100%	<30% cryptic
[CARD]gb|CAB45459.1|ARO:3002914|vanJ	AF-Q5F6J3-F1-model_v6	17.4	2.321e-09	330	256	252	433	1	252	101	326	0.7636363636363637	0.984375	Q5F6J3	CARD	gb|CAB45459.1|ARO:3002914|vanJ	ARO:3002914	vanJ membrane protein	glycopeptide antibiotic	antibiotic target alteration	vanJ	True	True	90-100%	<30% cryptic
[CARD]gb|AAK37618.1|ARO:3005008|TxR	AF-Q5F6K1-F1-model_v6	15.9	1.556e-08	318	498	295	376	195	489	23	262	0.9276729559748428	0.5923694779116466	Q5F6K1	CARD	gb|AAK37618.1|ARO:3005008|TxR	ARO:3005008	ATP-binding cassette (ABC) antibiotic efflux pump	tetracycline antibiotic	antibiotic efflux	TxR	True	False	50-70%	<30% cryptic
[SWISSPROT]sp|Q92SP2|UPPP_RHIME	AF-Q5F6K4-F1-model_v6	41.9	8.039e-19	268	273	268	1017	1	268	1	268	1.0	0.9816849816849816	Q5F6K4	SWISSPROT	sp|Q92SP2|UPPP_RHIME		Undecaprenyl-diphosphatase			UPPP_RHIME	False	False	90-100%	30-50% remote
[SWISSPROT]sp|A8C927|NPMA_ECOLX	AF-Q5F6K5-F1-model_v6	9.8	6.471e-06	219	406	287	254	93	379	17	219	1.0	0.7068965517241379	Q5F6K5	SWISSPROT	sp|A8C927|NPMA_ECOLX		16S rRNA (adenine(1408)-N(1))-methyltransferase			NPMA_ECOLX	True	True	70-90%	<30% cryptic
[CARD]gb|AAP74657.1|ARO:3000600|Erm(34)	AF-Q5F6K7-F1-model_v6	11.2	6.382e-06	281	318	315	270	1	315	13	199	1.0	0.9905660377358491	Q5F6K7	CARD	gb|AAP74657.1|ARO:3000600|Erm(34)	ARO:3000600	Erm 23S ribosomal RNA methyltransferase	lincosamide antibiotic;macrolide antibiotic;streptogramin A antibiotic;streptogramin B antibiotic;streptogramin antibiotic	antibiotic target alteration	Erm(34)	True	True	90-100%	<30% cryptic
[SWISSPROT]sp|P0A0U9|PBP2_NEIMB	AF-Q5F6K9-F1-model_v6	98.4	3.294e-98	581	582	582	4138	1	582	1	581	1.0	1.0	Q5F6K9	SWISSPROT	sp|P0A0U9|PBP2_NEIMB		Probable peptidoglycan D,D-transpeptidase PenA			PBP2_NEIMB	False	False	90-100%	>90% near-identical
