neig1_id	query	target	pident	evalue	qlen	tlen	alnlen	bits	tstart	tend	qstart	qend	qcov	tcov	query_source	query_clean	aro	gene_family	drug_class	mechanism	short_name	cryptic	has_human	tcov_tier	pident_tier	uniprot_gene	uniprot_name	amr_keywords	has_amr_kw	kegg_id	pdb_refs	mean_plddt	pident_cat	tcov_cat	kegg_pathways
Q5F5E9	[CARD]gb|AKQ05893.1|ARO:3004582|tet(49)	AF-Q5F5E9-F1-model_v6	11.8	3.259e-10	387	488	487	423	1	487	1	379	1.0	0.9979508196721312	CARD	gb|AKQ05893.1|ARO:3004582|tet(49)	ARO:3004582	tetracycline inactivation enzyme	tetracycline antibiotic	antibiotic inactivation	tet(49)	True	False	90-100%	<30% cryptic	mqo	Probable malate:quinone oxidoreductase		False			244.5	"<30%
cryptic"	90-100%	Citrate cycle (TCA cycle);Pyruvate metabolism;Metabolic pathways;Biosynthesis of secondary metabolites;Microbial metabolism in diverse environments;Carbon metabolism
Q5F5F0	[CARD]gb|BAD11815.1|ARO:3002593|AAC(6')-Ib-SK	AF-Q5F5F0-F1-model_v6	16.1	9.502e-12	176	196	178	504	1	178	13	175	1.0	0.9081632653061225	CARD	gb|BAD11815.1|ARO:3002593|AAC(6')-Ib-SK	ARO:3002593	AAC(6')	aminoglycoside antibiotic	antibiotic inactivation	AAC(6')-Ib-SK	True	False	90-100%	<30% cryptic				False			98.5	"<30%
cryptic"	90-100%	
Q5F5F5	[CARD]gb|BAA32493.1|ARO:3000423|FomA	AF-Q5F5F5-F1-model_v6	12.9	2.463e-10	266	239	261	432	5	238	1	261	0.981203007518797	1.0	CARD	gb|BAA32493.1|ARO:3000423|FomA	ARO:3000423	Fom phosphotransferase family	phosphonic acid antibiotic	antibiotic inactivation	FomA	True	False	90-100%	<30% cryptic	pyrH	Uridylate kinase		False			120.0	"<30%
cryptic"	90-100%	Pyrimidine metabolism;Metabolic pathways;Nucleotide metabolism;Biosynthesis of cofactors
Q5F5H2	[SWISSPROT]sp|A0A1C7E424|MDRP_PLAMR	AF-Q5F5H2-F1-model_v6	18.8	3.606e-11	424	485	461	680	19	479	9	418	1.0	0.9505154639175257	SWISSPROT	sp|A0A1C7E424|MDRP_PLAMR		Na(+), Li(+), K(+)/H(+) antiporter			MDRP_PLAMR	True	True	90-100%	<30% cryptic				False			243.0	"<30%
cryptic"	90-100%	
Q5F5H9	[SWISSPROT]sp|P0C002|DHP1_ECOLX	AF-Q5F5H9-F1-model_v6	11.6	8.127e-06	279	280	279	281	1	279	1	271	1.0	0.9964285714285714	SWISSPROT	sp|P0C002|DHP1_ECOLX		Dihydropteroate synthase type-1			DHP1_ECOLX	True	False	90-100%	<30% cryptic		UPF0276 protein NGO_1946		False			140.5	"<30%
cryptic"	90-100%	
Q5F5I6	[CARD]gb|ABA71731.1|ARO:3002909|vanG	AF-Q5F5I6-F1-model_v6	15.4	2.16e-15	349	423	344	641	1	317	4	347	0.9856733524355301	0.8132387706855791	CARD	gb|ABA71731.1|ARO:3002909|vanG	ARO:3002909	Van ligase;glycopeptide resistance gene cluster	glycopeptide antibiotic	antibiotic target alteration	vanG	True	True	70-90%	<30% cryptic	purD	Phosphoribosylamine--glycine ligase		False			212.0	"<30%
cryptic"	70-90%	Purine metabolism;Metabolic pathways;Biosynthesis of secondary metabolites
Q5F5J0	[CARD]gb|ABA42118.2|ARO:3000866|oleI	AF-Q5F5J0-F1-model_v6	11.8	6.141e-08	424	322	375	356	2	318	14	388	0.8844339622641509	1.0	CARD	gb|ABA42118.2|ARO:3000866|oleI	ARO:3000866	ole glycosyltransferase	macrolide antibiotic	antibiotic inactivation	oleI	True	False	90-100%	<30% cryptic		Lipopolysaccharide heptosyltransferase 1		False			161.5	"<30%
cryptic"	90-100%	
Q5F5J1	[SWISSPROT]sp|I6XD65|PNCA_MYCTU	AF-Q5F5J1-F1-model_v6	25.6	5.259e-14	186	211	198	576	1	198	1	183	1.0	0.9383886255924171	SWISSPROT	sp|I6XD65|PNCA_MYCTU		Nicotinamidase/pyrazinamidase			PNCA_MYCTU	True	False	90-100%	<30% cryptic		nicotinamidase		False			106.0	"<30%
cryptic"	90-100%	Nicotinate and nicotinamide metabolism;Metabolic pathways;Biosynthesis of cofactors
Q5F5J6	[CARD]gb|AEZ05106.1|ARO:3002587|AAC(6')-I33	AF-Q5F5J6-F1-model_v6	14.8	1.967e-09	184	163	181	385	9	160	2	182	0.9836956521739131	1.0	CARD	gb|AEZ05106.1|ARO:3002587|AAC(6')-I33	ARO:3002587	AAC(6')	aminoglycoside antibiotic	antibiotic inactivation	AAC(6')-I33	True	False	90-100%	<30% cryptic				False			82.0	"<30%
cryptic"	90-100%	
Q5F5K2	[CARD]gb|ADZ12699.1|ARO:3005091|RanA	AF-Q5F5K2-F1-model_v6	32.2	2.8009999999999995e-22	258	216	216	937	1	215	1	216	0.8372093023255814	1.0	CARD	gb|ADZ12699.1|ARO:3005091|RanA	ARO:3005091	ATP-binding cassette (ABC) antibiotic efflux pump	aminoglycoside antibiotic	antibiotic efflux	RanA	False	True	90-100%	30-50% remote		Cell division ATP-binding protein FtsE		False			108.5	"30-50%
remote"	90-100%	ABC transporters
Q5F5K3	[SWISSPROT]sp|Q7VMF9|MACB_HAEDU	AF-Q5F5K3-F1-model_v6	13.5	3.587e-09	696	305	388	484	1	296	296	683	0.5574712643678161	1.0	SWISSPROT	sp|Q7VMF9|MACB_HAEDU		Macrolide export ATP-binding/permease protein MacB			MACB_HAEDU	True	False	90-100%	<30% cryptic		Cell division protein FtsX		False			153.0	"<30%
cryptic"	90-100%	ABC transporters
Q5F5K6	[CARD]gb|AAN28945.1|ARO:3003785|Ctra_murA_FOF	AF-Q5F5K6-F1-model_v6	33.0	3.993e-44	444	417	433	1765	1	411	1	433	0.9752252252252253	1.0	CARD	gb|AAN28945.1|ARO:3003785|Ctra_murA_FOF	ARO:3003785	antibiotic-resistant murA transferase	phosphonic acid antibiotic	antibiotic target alteration	Ctra_murA_FOF	False	False	90-100%	30-50% remote	murA	UDP-N-acetylglucosamine 1-carboxyvinyltransferase		False			209.0	"30-50%
remote"	90-100%	Amino sugar and nucleotide sugar metabolism;Peptidoglycan biosynthesis;Metabolic pathways;Biosynthesis of nucleotide sugars
Q5F5K9	[SWISSPROT]sp|Q9HTC0|WBPZ_PSEAE	AF-Q5F5K9-F1-model_v6	13.5	4.294e-11	381	423	371	478	52	422	3	373	0.973753280839895	0.8770685579196218	SWISSPROT	sp|Q9HTC0|WBPZ_PSEAE		D-rhamnosyltransferase WbpZ			WBPZ_PSEAE	True	False	70-90%	<30% cryptic		3-deoxy-D-manno-octulosonic acid transferase		False			212.0	"<30%
cryptic"	70-90%	Lipopolysaccharide biosynthesis;Metabolic pathways
Q5F5L0	[CARD]gb|AAC75089.1|ARO:3003577|ugd	AF-Q5F5L0-F1-model_v6	13.6	5.822e-08	388	482	327	366	1	324	1	327	0.8427835051546392	0.6784232365145229	CARD	gb|AAC75089.1|ARO:3003577|ugd	ARO:3003577	pmr phosphoethanolamine transferase	peptide antibiotic	antibiotic target alteration	ugd	True	True	50-70%	<30% cryptic		6-phosphogluconate dehydrogenase, decarboxylating		False			241.5	"<30%
cryptic"	50-70%	Pentose phosphate pathway;Glutathione metabolism;Metabolic pathways;Biosynthesis of secondary metabolites;Microbial metabolism in diverse environments;Carbon metabolism
Q5F5L3	[SWISSPROT]sp|Q83IQ8|MDTO_SHIFL	AF-Q5F5L3-F1-model_v6	14.8	5.428e-12	680	716	686	728	6	691	26	679	1.0	0.9581005586592178	SWISSPROT	sp|Q83IQ8|MDTO_SHIFL		Multidrug resistance protein MdtO			MDTO_SHIFL	True	False	90-100%	<30% cryptic				False			358.5	"<30%
cryptic"	90-100%	
Q5F5L6	[CARD]gb|ABX54690.1|ARO:3002974|vanTr_in_vanL	AF-Q5F5L6-F1-model_v6	16.1	3.348e-08	366	228	223	357	5	227	14	228	0.6092896174863388	0.9780701754385965	CARD	gb|ABX54690.1|ARO:3002974|vanTr_in_vanL	ARO:3002974	glycopeptide resistance gene cluster;vanT	glycopeptide antibiotic	antibiotic target alteration	vanTr_in_vanL	True	True	90-100%	<30% cryptic		Pyridoxal phosphate homeostasis protein		False			114.5	"<30%
cryptic"	90-100%	
Q5F5L8	[CARD]gb|AAC75089.1|ARO:3003577|ugd	AF-Q5F5L8-F1-model_v6	12.4	3.27e-06	388	263	295	295	1	261	1	295	0.7603092783505154	1.0	CARD	gb|AAC75089.1|ARO:3003577|ugd	ARO:3003577	pmr phosphoethanolamine transferase	peptide antibiotic	antibiotic target alteration	ugd	True	True	90-100%	<30% cryptic	proC	Pyrroline-5-carboxylate reductase		False			132.0	"<30%
cryptic"	90-100%	Arginine and proline metabolism;Metabolic pathways;Biosynthesis of secondary metabolites;Biosynthesis of amino acids
Q5F5M3	[SWISSPROT]sp|Q88QT2|MURU_PSEPK	AF-Q5F5M3-F1-model_v6	23.7	5.695e-18	223	288	239	686	1	239	1	221	1.0	0.8298611111111112	SWISSPROT	sp|Q88QT2|MURU_PSEPK		N-acetylmuramate alpha-1-phosphate uridylyltransferase			MURU_PSEPK	True	True	70-90%	<30% cryptic		Glucose-1-phosphate thymidylyltransferase		False			144.5	"<30%
cryptic"	70-90%	Amino sugar and nucleotide sugar metabolism;Streptomycin biosynthesis;Polyketide sugar unit biosynthesis;Acarbose and validamycin biosynthesis;Biosynthesis of various nucleotide sugars;Metabolic pathways;Biosynthesis of secondary metabolites;Biosynthesis of nucleotide sugars
Q5F5M4	[SWISSPROT]sp|B2TW38|ARNA_SHIB3	AF-Q5F5M4-F1-model_v6	19.5	9.269000000000001e-26	526	346	343	1061	1	339	176	518	0.6520912547528517	0.9913294797687862	SWISSPROT	sp|B2TW38|ARNA_SHIB3		Putative bifunctional polymyxin resistance protein ArnA			ARNA_SHIB3	True	True	90-100%	<30% cryptic		dTDP-glucose 4,6-dehydratase		False			173.5	"<30%
cryptic"	90-100%	Streptomycin biosynthesis;Polyketide sugar unit biosynthesis;Acarbose and validamycin biosynthesis;Biosynthesis of various nucleotide sugars;Metabolic pathways;Biosynthesis of secondary metabolites;Biosynthesis of nucleotide sugars
Q5F5M5	[SWISSPROT]sp|A4SQW9|ARNA_AERS4	AF-Q5F5M5-F1-model_v6	19.0	7.377e-20	663	338	343	848	1	338	318	660	0.5173453996983409	1.0	SWISSPROT	sp|A4SQW9|ARNA_AERS4		Bifunctional polymyxin resistance protein ArnA			ARNA_AERS4	True	True	90-100%	<30% cryptic		UDP-glucose 4-epimerase		False			169.5	"<30%
cryptic"	90-100%	Galactose metabolism;Amino sugar and nucleotide sugar metabolism;Metabolic pathways;Biosynthesis of nucleotide sugars
Q5F5M7	[CARD]gb|APB03216.1|ARO:3003982|LlmA_23S_CLI	AF-Q5F5M7-F1-model_v6	14.5	1.344e-06	287	333	174	293	2	174	114	287	0.6062717770034843	0.5225225225225225	CARD	gb|APB03216.1|ARO:3003982|LlmA_23S_CLI	ARO:3003982	Llm 23S ribosomal RNA methyltransferase	lincosamide antibiotic	antibiotic target alteration	LlmA_23S_CLI	True	True	50-70%	<30% cryptic		Cytosine-specific methyltransferase		False			167.0	"<30%
cryptic"	50-70%	
Q5F5N9	[CARD]gb|AAA88422.1|ARO:3002530|AAC(3)-Ib	AF-Q5F5N9-F1-model_v6	20.4	1.741e-10	176	280	157	428	126	279	16	172	0.8920454545454546	0.5607142857142857	CARD	gb|AAA88422.1|ARO:3002530|AAC(3)-Ib	ARO:3002530	AAC(3)	aminoglycoside antibiotic	antibiotic inactivation	AAC(3)-Ib	True	False	50-70%	<30% cryptic				False			140.5	"<30%
cryptic"	50-70%	
Q5F5P0	[CARD]gb|AHA41499.1|ARO:3002948|vanH_in_vanO_cl	AF-Q5F5P0-F1-model_v6	11.2	2.274e-07	350	306	337	354	13	300	6	342	0.9628571428571429	1.0	CARD	gb|AHA41499.1|ARO:3002948|vanH_in_vanO_cl	ARO:3002948	glycopeptide resistance gene cluster;vanH	glycopeptide antibiotic	antibiotic target alteration	vanH_in_vanO_cl	True	True	90-100%	<30% cryptic	pyrB	Aspartate carbamoyltransferase catalytic subunit		False			153.5	"<30%
cryptic"	90-100%	Pyrimidine metabolism;Alanine, aspartate and glutamate metabolism;Metabolic pathways;Biosynthesis of cofactors
Q5F5P8	[CARD]gb|AAL02176.1|ARO:3004669|emtA	AF-Q5F5P8-F1-model_v6	15.2	5.872e-11	341	419	223	459	197	419	138	335	0.6539589442815249	0.5322195704057279	CARD	gb|AAL02176.1|ARO:3004669|emtA	ARO:3004669	non-erm 23S ribosomal RNA methyltransferase (G748)	lincosamide antibiotic;macrolide antibiotic;orthosomycin antibiotic	antibiotic target alteration	emtA	True	True	50-70%	<30% cryptic		16S rRNA (cytosine(967)-C(5))-methyltransferase		False			210.0	"<30%
cryptic"	50-70%	
Q5F5Q0	[SWISSPROT]sp|Q47745|VANS_ENTFA	AF-Q5F5Q0-F1-model_v6	14.3	3.258e-20	447	706	633	840	71	703	6	446	1.0	0.896600566572238	SWISSPROT	sp|Q47745|VANS_ENTFA		Sensor protein VanSB			VANS_ENTFA	True	False	70-90%	<30% cryptic		histidine kinase		False			353.5	"<30%
cryptic"	70-90%	Two-component system
Q5F5Q1	[CARD]gb|AAK37618.1|ARO:3005008|TxR	AF-Q5F5Q1-F1-model_v6	20.6	1.405e-14	318	425	294	613	137	415	25	318	0.9245283018867925	0.691764705882353	CARD	gb|AAK37618.1|ARO:3005008|TxR	ARO:3005008	ATP-binding cassette (ABC) antibiotic efflux pump	tetracycline antibiotic	antibiotic efflux	TxR	True	False	50-70%	<30% cryptic				False			213.0	"<30%
cryptic"	50-70%	
Q5F5Q6	[SWISSPROT]sp|P25397|TEHB_ECOLI	AF-Q5F5Q6-F1-model_v6	17.0	1.021e-07	197	189	183	317	33	186	15	197	0.9289340101522843	0.9682539682539683	SWISSPROT	sp|P25397|TEHB_ECOLI		Tellurite methyltransferase			TEHB_ECOLI	True	False	90-100%	<30% cryptic				False			95.0	"<30%
cryptic"	90-100%	
Q5F5Q8	[SWISSPROT]sp|P0A6N3|EFTU_ECO57	AF-Q5F5Q8-F1-model_v6	83.7	8.924000000000001e-72	394	394	394	2964	1	394	1	394	1.0	1.0	SWISSPROT	sp|P0A6N3|EFTU_ECO57		Elongation factor Tu			EFTU_ECO57	False	True	90-100%	70-90% close	tuf1	Elongation factor Tu		False			197.5	"70-90%
close"	90-100%	
Q5F5R1	[SWISSPROT]sp|Q06796|RL11_BACSU	AF-Q5F5R1-F1-model_v6	60.9	3.3500000000000005e-20	141	144	141	795	1	141	1	140	1.0	0.9791666666666666	SWISSPROT	sp|Q06796|RL11_BACSU		Large ribosomal subunit protein uL11			RL11_BACSU	False	True	90-100%	50-70% moderate	rplK	Large ribosomal subunit protein uL11		False			72.5	"50-70%
moderate"	90-100%	Ribosome
Q5F5R5	[SWISSPROT]sp|O52271|RPOB_RICPR	AF-Q5F5R5-F1-model_v6	53.5	0.0	1374	1392	1385	7008	8	1392	16	1371	1.0	0.9949712643678161	SWISSPROT	sp|O52271|RPOB_RICPR		DNA-directed RNA polymerase subunit beta			RPOB_RICPR	False	True	90-100%	50-70% moderate	rpoB	DNA-directed RNA polymerase subunit beta		False			696.5	"50-70%
moderate"	90-100%	RNA polymerase
Q5F5R6	[SWISSPROT]sp|P37871|RPOC_BACSU	AF-Q5F5R6-F1-model_v6	46.4	0.0	1199	1391	1357	5622	14	1370	2	1181	1.0	0.9755571531272466	SWISSPROT	sp|P37871|RPOC_BACSU		DNA-directed RNA polymerase subunit beta'			RPOC_BACSU	False	True	90-100%	30-50% remote	rpoC	DNA-directed RNA polymerase subunit beta'		False			696.0	"30-50%
remote"	90-100%	RNA polymerase
Q5F5S1	[SWISSPROT]sp|P0A4A6|RS12_STRFL	AF-Q5F5S1-F1-model_v6	77.2	1.847e-19	123	123	123	796	1	123	1	123	1.0	1.0	SWISSPROT	sp|P0A4A6|RS12_STRFL		Small ribosomal subunit protein uS12			RS12_STRFL	False	True	90-100%	70-90% close	rpsL	Small ribosomal subunit protein uS12		False			62.0	"70-90%
close"	90-100%	Ribosome
Q5F5S3	[SWISSPROT]sp|Q46306|TETP_CLOPF	AF-Q5F5S3-F1-model_v6	25.1	7.377e-62	652	701	681	2624	10	690	4	624	1.0	0.9714693295292439	SWISSPROT	sp|Q46306|TETP_CLOPF		Tetracycline resistance protein TetP			TETP_CLOPF	True	True	90-100%	<30% cryptic	fusA	Elongation factor G		False			351.0	"<30%
cryptic"	90-100%	
Q5F5S8	[SWISSPROT]sp|P44345|RL4_HAEIN	AF-Q5F5S8-F1-model_v6	53.6	3.9090000000000005e-26	200	206	205	994	1	205	1	199	1.0	0.9951456310679612	SWISSPROT	sp|P44345|RL4_HAEIN		Large ribosomal subunit protein uL4			RL4_HAEIN	False	True	90-100%	50-70% moderate	rplD	Large ribosomal subunit protein uL4		False			103.5	"50-70%
moderate"	90-100%	Ribosome
Q5F5T2	[SWISSPROT]sp|P44360|RL22_HAEIN	AF-Q5F5T2-F1-model_v6	69.7	9.929e-19	110	109	109	686	1	109	1	109	0.990909090909091	1.0	SWISSPROT	sp|P44360|RL22_HAEIN		Large ribosomal subunit protein uL22			RL22_HAEIN	False	True	90-100%	50-70% moderate	rplV	Large ribosomal subunit protein uL22		False			55.0	"50-70%
moderate"	90-100%	Ribosome
Q5F5T4	[SWISSPROT]sp|P0A475|RL16_STRPN	AF-Q5F5T4-F1-model_v6	51.8	4.529e-19	137	138	137	734	1	137	1	137	1.0	0.9927536231884058	SWISSPROT	sp|P0A475|RL16_STRPN		Large ribosomal subunit protein uL16			RL16_STRPN	False	True	90-100%	50-70% moderate	rplP	Large ribosomal subunit protein uL16		False			69.5	"50-70%
moderate"	90-100%	Ribosome
Q5F5T6	[SWISSPROT]sp|P0AG63|RS17_ECOLI	AF-Q5F5T6-F1-model_v6	63.4	2.4e-10	84	87	82	476	3	84	1	82	0.9761904761904762	0.9425287356321839	SWISSPROT	sp|P0AG63|RS17_ECOLI		Small ribosomal subunit protein uS17			RS17_ECOLI	False	False	90-100%	50-70% moderate	rpsQ	Small ribosomal subunit protein uS17		False			44.0	"50-70%
moderate"	90-100%	
Q5F5U2	[SWISSPROT]sp|P0AG55|RL6_ECOLI	AF-Q5F5U2-F1-model_v6	59.3	7.818e-25	177	177	177	1047	1	177	1	177	1.0	1.0	SWISSPROT	sp|P0AG55|RL6_ECOLI		Large ribosomal subunit protein uL6			RL6_ECOLI	False	False	90-100%	50-70% moderate	rplF	Large ribosomal subunit protein uL6		False			89.0	"50-70%
moderate"	90-100%	Ribosome
Q5F5U4	[SWISSPROT]sp|P0A7W4|RS5_SALTY	AF-Q5F5U4-F1-model_v6	59.3	2.178e-24	167	172	165	988	4	168	2	166	0.9880239520958084	0.9593023255813954	SWISSPROT	sp|P0A7W4|RS5_SALTY		Small ribosomal subunit protein uS5			RS5_SALTY	False	False	90-100%	50-70% moderate	rpsE	Small ribosomal subunit protein uS5		False			86.5	"50-70%
moderate"	90-100%	Ribosome
Q5F5V1	[SWISSPROT]sp|O54297|RS4_SALTY	AF-Q5F5V1-F1-model_v6	72.6	1.891e-29	206	206	205	1280	1	205	1	205	0.9951456310679612	0.9951456310679612	SWISSPROT	sp|O54297|RS4_SALTY		Small ribosomal subunit protein uS4			RS4_SALTY	False	False	90-100%	70-90% close	rpsD	Small ribosomal subunit protein uS4		False			103.5	"70-90%
close"	90-100%	Ribosome
Q5F5V6	[CARD]gb|VWQ00850.1|ARO:3003843|leuO	AF-Q5F5V6-F1-model_v6	18.5	2.0120000000000002e-21	314	306	294	874	1	294	22	313	0.9363057324840764	0.9607843137254902	CARD	gb|VWQ00850.1|ARO:3003843|leuO	ARO:3003843	major facilitator superfamily (MFS) antibiotic efflux pump	disinfecting agents and antiseptics;nucleoside antibiotic	antibiotic efflux	leuO	True	False	90-100%	<30% cryptic				False			153.5	"<30%
cryptic"	90-100%	
Q5F5V7	[CARD]gb|AAP82271.1|ARO:3004123|Bpse_Omp38	AF-Q5F5V7-F1-model_v6	23.8	6.78e-25	374	348	365	1062	6	348	10	374	0.9759358288770054	1.0	CARD	gb|AAP82271.1|ARO:3004123|Bpse_Omp38	ARO:3004123	General Bacterial Porin with reduced permeability to beta-lactams	carbapenem;cephalosporin;monobactam;penicillin beta-lactam	reduced permeability to antibiotic	Bpse_Omp38	True	False	90-100%	<30% cryptic		Major outer membrane protein P.IB		False			174.5	"<30%
cryptic"	90-100%	
Q5F5W0	[SWISSPROT]sp|Q8L1B1|SYI2_PSEFL	AF-Q5F5W0-F1-model_v6	20.6	6.4990000000000004e-49	1030	945	988	2454	3	941	7	994	0.9592233009708738	1.0	SWISSPROT	sp|Q8L1B1|SYI2_PSEFL		Isoleucine--tRNA ligase 2			SYI2_PSEFL	True	True	90-100%	<30% cryptic	valS	Valine--tRNA ligase		False			473.0	"<30%
cryptic"	90-100%	Aminoacyl-tRNA biosynthesis
Q5F5W1	[CARD]gb|AKQ05893.1|ARO:3004582|tet(49)	AF-Q5F5W1-F1-model_v6	11.6	1.995e-10	387	419	395	431	2	396	6	313	1.0	0.9427207637231504	CARD	gb|AKQ05893.1|ARO:3004582|tet(49)	ARO:3004582	tetracycline inactivation enzyme	tetracycline antibiotic	antibiotic inactivation	tet(49)	True	True	90-100%	<30% cryptic	dadA	D-amino acid dehydrogenase		False			210.0	"<30%
cryptic"	90-100%	Phenylalanine metabolism;D-Amino acid metabolism;Metabolic pathways
Q5F5W3	[SWISSPROT]sp|P0A1X4|LPXD_SALTY	AF-Q5F5W3-F1-model_v6	26.0	8.124e-10	341	258	230	524	3	216	99	328	0.6744868035190615	0.8914728682170543	SWISSPROT	sp|P0A1X4|LPXD_SALTY		UDP-3-O-(3-hydroxymyristoyl)glucosamine N-acyltransferase			LPXD_SALTY	True	False	70-90%	<30% cryptic	lpxA	Acyl-[acyl-carrier-protein]--UDP-N-acetylglucosamine O-acyltransferase		False			129.5	"<30%
cryptic"	70-90%	Lipopolysaccharide biosynthesis;Metabolic pathways;Cationic antimicrobial peptide (CAMP) resistance
Q5F5W6	[SWISSPROT]sp|P0A1X4|LPXD_SALTY	AF-Q5F5W6-F1-model_v6	36.4	2.9e-25	341	347	339	1268	5	343	3	340	0.9941348973607038	0.9769452449567724	SWISSPROT	sp|P0A1X4|LPXD_SALTY		UDP-3-O-(3-hydroxymyristoyl)glucosamine N-acyltransferase			LPXD_SALTY	False	False	90-100%	30-50% remote	lpxD	UDP-3-O-acylglucosamine N-acyltransferase		False			174.0	"30-50%
remote"	90-100%	Lipopolysaccharide biosynthesis;Metabolic pathways
Q5F5X4	[CARD]gb|AAB60941.1|ARO:3005099|Spyo_ErmA_MLSb	AF-Q5F5X4-F1-model_v6	18.9	2.916e-06	243	330	163	282	2	164	33	178	0.6707818930041153	0.49393939393939396	CARD	gb|AAB60941.1|ARO:3005099|Spyo_ErmA_MLSb	ARO:3005099	Erm 23S ribosomal RNA methyltransferase	lincosamide antibiotic;macrolide antibiotic;streptogramin antibiotic	antibiotic target alteration	Spyo_ErmA_MLSb	True	True	30-50%	<30% cryptic		Cytosine-specific methyltransferase		False			165.5	"<30%
cryptic"	30-50%	Cysteine and methionine metabolism;Metabolic pathways
Q5F5X5	[SWISSPROT]sp|Q83IQ8|MDTO_SHIFL	AF-Q5F5X5-F1-model_v6	13.2	3.34e-06	680	375	347	405	23	369	346	680	0.5102941176470588	0.9253333333333333	SWISSPROT	sp|Q83IQ8|MDTO_SHIFL		Multidrug resistance protein MdtO			MDTO_SHIFL	True	False	90-100%	<30% cryptic				False			188.0	"<30%
cryptic"	90-100%	
Q5F5X7	[SWISSPROT]sp|P25397|TEHB_ECOLI	AF-Q5F5X7-F1-model_v6	18.4	6.652e-10	197	207	176	396	58	207	21	196	0.8934010152284264	0.8502415458937198	SWISSPROT	sp|P25397|TEHB_ECOLI		Tellurite methyltransferase			TEHB_ECOLI	True	False	70-90%	<30% cryptic	rsmG	Ribosomal RNA small subunit methyltransferase G		False			104.0	"<30%
cryptic"	70-90%	
Q5F5Y0	[CARD]gb|APE19944.1|ARO:3007209|Sven_rox	AF-Q5F5Y0-F1-model_v6	11.8	1.399e-09	476	631	463	444	9	471	1	371	0.9726890756302521	0.7337559429477021	CARD	gb|APE19944.1|ARO:3007209|Sven_rox	ARO:3007209	rifampin monooxygenase	rifamycin antibiotic	antibiotic inactivation	Sven_rox	True	True	70-90%	<30% cryptic	mnmG	tRNA uridine 5-carboxymethylaminomethyl modification enzyme MnmG		False			316.0	"<30%
cryptic"	70-90%	
Q5F5Y6	[CARD]gb|ABA42119.2|ARO:3000865|oleD	AF-Q5F5Y6-F1-model_v6	14.7	2.066e-13	415	390	398	588	1	388	1	398	0.9590361445783132	1.0	CARD	gb|ABA42119.2|ARO:3000865|oleD	ARO:3000865	ole glycosyltransferase	macrolide antibiotic	antibiotic inactivation	oleD	True	False	90-100%	<30% cryptic	lpxB	Lipid-A-disaccharide synthase		False			195.5	"<30%
cryptic"	90-100%	
Q5F5Z6	[SWISSPROT]sp|P22118|GYRB_NEIGO	AF-Q5F5Z6-F1-model_v6	98.8	0.0	795	796	796	5686	1	796	1	795	1.0	1.0	SWISSPROT	sp|P22118|GYRB_NEIGO		Antibiotic resistant DNA gyrase subunit B			GYRB_NEIGO	False	True	90-100%	>90% near-identical	gyrB	DNA gyrase subunit B		False			398.5	">90%
near-id."	90-100%	
Q5F602	[CARD]gb|QFQ03949.1|ARO:3005051|LpsB	AF-Q5F602-F1-model_v6	17.3	1.639e-18	366	376	363	760	1	359	1	363	0.9918032786885246	0.9654255319148937	CARD	gb|QFQ03949.1|ARO:3005051|LpsB	ARO:3005051	Intrinsic peptide antibiotic resistant Lps	peptide antibiotic	reduced permeability to antibiotic	LpsB	True	False	90-100%	<30% cryptic				False			188.5	"<30%
cryptic"	90-100%	
Q5F604	[SWISSPROT]sp|P0A003|ACP_STAAW	AF-Q5F604-F1-model_v6	55.4	3.791e-08	77	78	74	343	2	75	1	74	0.961038961038961	0.9487179487179487	SWISSPROT	sp|P0A003|ACP_STAAW		Acyl carrier protein			ACP_STAAW	False	True	90-100%	50-70% moderate	acpP	Acyl carrier protein		False			39.5	"50-70%
moderate"	90-100%	Metabolic pathways;Biosynthesis of secondary metabolites
Q5F609	[CARD]gb|CCA59315.1|ARO:3007208|HelR	AF-Q5F609-F1-model_v6	12.3	3.094e-11	722	735	619	558	2	620	189	721	0.8573407202216067	0.8421768707482993	CARD	gb|CCA59315.1|ARO:3007208|HelR	ARO:3007208	helicase-like RNA polymerase protection protein	rifamycin antibiotic	antibiotic target protection	HelR	True	False	70-90%	<30% cryptic		DNA 3'-5' helicase		False			368.0	"<30%
cryptic"	70-90%	Nucleotide excision repair;Mismatch repair
Q5F614	[CARD]gb|WP_010896559.1|ARO:3004643|Erm(K)	AF-Q5F614-F1-model_v6	11.4	7.324e-07	284	483	208	313	255	445	32	239	0.7323943661971831	0.4306418219461698	CARD	gb|WP_010896559.1|ARO:3004643|Erm(K)	ARO:3004643	Erm 23S ribosomal RNA methyltransferase	lincosamide antibiotic;macrolide antibiotic;streptogramin antibiotic	antibiotic target alteration	Erm(K)	True	False	30-50%	<30% cryptic				False			242.0	"<30%
cryptic"	30-50%	
Q5F634	[CARD]gb|AET10445.1|ARO:3004033|tetB(46)	AF-Q5F634-F1-model_v6	24.3	6.445e-38	578	618	579	1723	28	606	3	576	1.0	0.9368932038834952	CARD	gb|AET10445.1|ARO:3004033|tetB(46)	ARO:3004033	ATP-binding cassette (ABC) antibiotic efflux pump	tetracycline antibiotic	antibiotic efflux	tetB(46)	True	True	90-100%	<30% cryptic				False			309.5	"<30%
cryptic"	90-100%	ABC transporters
